Name,Zone,Level,Classification,Type,Movement,Notes/Abilities,Commands
Dalaran Shield Guard,Alterac Mountains,31-32,Normal,Humanoid,Idle,"Glowing ""Violent Shield Effect"" is Retaliation",".pin Alterac Mountains,20.59,87.46;.pin Alterac Mountains,21.22,83.78;.pin Alterac Mountains,18.31,83.01;.mob Dalaran Shield Guard"
Warden Belamoore,Alterac Mountains,36,Normal,Humanoid,Idle,"High level for area, cone of cold, sheeps if multiple mobs",".pin Alterac Mountains,17.73,82.97;.mob Warden Belamoore"
Frostmaw,Alterac Mountains,37,Normal,Humanoid,Idle,High level for area,".pin Alterac Mountains,36.9,66.3;.mob Frostmaw"
Lord Aliden Perenolde,Alterac Mountains,41,Normal,Humanoid,Idle,"High level for the area, has renew/PW:S, social aggro and house is bugged",".pin Alterac Mountains,40.1,15.2;.mob Lord Aliden Perenolde"
Syndicate Assassin,Alterac Mountains,38-39,Normal,Humanoid,Idle,"Stealthed mobs around the house of Lord Aliden Perenolde, easily ass-pulled",".pin Alterac Mountains,38.50,21.80;.pin Alterac Mountains,40.77,19.50;.pin Alterac Mountains,41.17,15.45;.pin Alterac Mountains,39.55,12.48;.pin Alterac Mountains,36.88,12.91;.pin Alterac Mountains,37.45,16.39;.pin Alterac Mountains,39.17,14.94;.mob Syndicate Assassin"
Syndicate Enforcer,Alterac Mountains,39-40,Normal,Humanoid,Idle,"Easily double pulled, they have a strong whirlwind ability",".pin Alterac Mountains,38.50,21.80;.pin Alterac Mountains,40.77,19.50;.pin Alterac Mountains,41.17,15.45;.pin Alterac Mountains,39.55,12.48;.pin Alterac Mountains,36.88,12.91;.pin Alterac Mountains,37.45,16.39;.pin Alterac Mountains,39.17,14.94;.mob Syndicate Enforcer"
Lieutenant Valorcall,Arathi Highlands,38,Elite,Humanoid,Slow Patrol,"Has 2 adds, bubbles/heals",
Stormgarde Cavalryman,Arathi Highlands,36-37,Elite,Humanoid,Slow Patrol,"Stunning charge, high damage",
Nimar the Slayer,Arathi Highlands,37,Rare,Humanoid,Idle,"High level for area, has execute",".pin Arathi Highlands,73.51,65.03;.pin Arathi Highlands,70.53,69.56;.pin Arathi Highlands,64.73,73.47;.pin Arathi Highlands,61.17,72.58;.pin Arathi Highlands,63.28,67.56;.pin Arathi Highlands,66.31,64.25;.mob Nimar the Slayer"
Marez Cowl,Arathi Highlands,40,Elite,Humanoid,Idle,Basic elite in area with stealth patrols,".pin Arathi Highlands,29.73,62.96;.pin Arathi Highlands,29.69,61.40;.pin Arathi Highlands,29.71,64.65;.mob Marez Cowl"
Boulderfist Ogre,Arathi Highlands,32-33,Normal,Humanoid,Idle,"Has Fist of Stone ability, 100 dmg bonus per attack but 54% reduced attack speed/movement speed",".pin Arathi Highlands,53.54,76.79;.mob Bouldfist Ogre"
Highland Thrasher,Arathi Highlands,33-34,Normal,Beast,Idle,Thrash mob,".pin Arathi Highlands,62.6,65.8;.pin Arathi Highlands,54.6,58.2;.pin Arathi Highlands,36.4,64.0;.pin Arathi Highlands,40.6,35.2;.pin Arathi Highlands,21.2,50.6;.mob Highland Thrasher"
Boulderfist Enforcer,Arathi Highlands,33-34,Normal,Humanoid,Idle,"Has Fist of Stone ability, 100 dmg bonus per attack but 54% reduced attack speed/movement speed",".pin Arathi Highlands,53.54,76.79;.mob Boulderfist Enforcer"
Witherbark Headhunter,Arathi Highlands,34-35,Normal,Humanoid,Idle,Execute mobs and cast nets,".pin Arathi Highlands,73.51,65.03;.pin Arathi Highlands,70.53,69.56;.pin Arathi Highlands,64.73,73.47;.pin Arathi Highlands,61.17,72.58;.pin Arathi Highlands,63.28,67.56;.pin Arathi Highlands,66.31,64.25;.mob Witherbark Headhunter"
Thundering Exile,Arathi Highlands,38-39,Normal,Elemental,Idle,"High damage shock ability, sometimes double pull",".pin Arathi Highlands,52.02,50.69;.mob Thundering Exile"
Vorsha the Lasher,Ashenvale,22,Normal,Beast,Idle,"High HP/DPS, potential adds",".pin Ashenvale,9.4,27.6;.mob Vorsha the Lasher"
Keeper Ordanus,Ashenvale,29,Normal,Humanoid,Idle,"2 guards, entangles, summons many treants",".pin Ashenvale,62.0,51.2;.mob Keeper Ordanus"
Sharptalon,Ashenvale,31,Normal,Beast,Slow Patrol,High level for the area,".line Ashenvale,71.48,70.11,72.16,70.52,72.48,70.60,72.67,70.67,73.23,70.67,74.43,70.07,74.80,70.06,75.44,69.90,75.69,69.81,75.96,69.78,76.10,68.96,76.44,68.58,76.91,68.04,77.59,66.37,77.92,65.94,78.29,65.71;.mob Sharptalon"
Thundering Invader,Azshara,55-57,Normal,Elemental,Idle,Invasion mobs,".pin Azshara,72.8,22;.pin Azshara,73.0,16.8;.pin Azshara,74.18,21.2;.pin Azshara,78.0,26.2;.pin Azshara,81.6,22.4;.pin Azshara,82.6,17.8;.pin Azshara,77.0,15.8;.mob Thundering Invader"
Monnos the Elder,Azshara,53,Rare Elite,Elemental,Slow Patrol,Has a huge knockback and a high-damage 5 sec aoe stun,".line Azshara,76.20,20.69,76.27,21.13,76.11,23.40,75.67,24.39,74.56,24.91,74.23,25.09,73.82,24.61,73.71,23.88,72.97,23.43,72.26,23.47,71.76,23.33,71.28,22.53,71.06,21.45,71.23,19.97,71.55,19.65,72.04,19.91,72.59,20.94,73.14,21.41,73.52,21.32,74.04,20.21,74.60,19.72,75.22,19.69,75.69,18.53,76.36,18.01,77.01,17.16,78.01,17.28,79.03,18.19,79.31,18.45,80.57,18.52,81.01,18.70,81.55,18.50,81.98,17.89;.mob Monnos the Elder"
Avalanchion,Azshara,58,Elite,Elemental,Slow Patrol,Aoe stun + several adds that stun and interrupt,".line Azshara,82.17,20.69,81.93,22.12,81.54,23.16,80.97,23.85,79.12,24.49,77.70,25.02,77.21,25.04,76.65,24.33,76.22,23.15,74.96,22.07,72.94,20.81,72.65,20.18,72.56,19.07,73.01,18.11,75.30,16.67,77.46,16.69,79.24,18.26,81.74,18.58,82.07,19.26,82.17,20.69;.mob Avalanchion"
Blood Elf Surveyor,Azshara,51-52,Normal,Humanoid,Idle,Large aggro radius,".pin Azshara,55.2,26.4;.pin Azshara,56.2,29.8;.pin Azshara,58.2,30.8;.pin Azshara,59.2,29.6;.pin Azshara,56.6,28.8;.pin Azshara,57.8,26.4;.mob Blood Elf Surveyor"
Blood Elf Reclaimer,Azshara,52-53,Normal,Humanoid,Idle,Large aggro radius,".pin Azshara,55.2,26.4;.pin Azshara,56.2,29.8;.pin Azshara,58.2,30.8;.pin Azshara,59.2,29.6;.pin Azshara,56.6,28.8;.pin Azshara,57.8,26.4;.mob Blood Elf Reclaimer"
Cliff Walker,Azshara,52-53,Elite,Giant,Idle,"Basic elite, nothing special",".pin Azshara,57.2,79.0;.pin Azshara,52.6,81.4;.pin Azshara,49.8,77.6;.pin Azshara,46.2,83.4;.pin Azshara,45.8,75.0;.pin Azshara,70.8,23.6;.pin Azshara,70.4,12.8;.pin Azshara,77.2,18.8;.mob Cliff Walker"
