Region_0,Region_1,Region_3,Region_4,UiMapID,MapID
-1716.6666259766,-7249.9995117188,1808.3332519531,-1962.4998779297,1411,1
-3697.9165039062,-3089.5832519531,-272.91665649414,2047.9166259766,1412,1
-5143.75,-7510.4165039062,1612.4998779297,2622.9165039062,1413,1
-11733.299804688,-19733.2109375,12799.900390625,17066.599609375,1414,1
-16000,-19199.900390625,7466.6000976562,16000,1415,0
-366.66665649414,-2016.6666259766,1500,783.33331298828,1416,0
-2533.3332519531,-4466.6665039062,-133.33332824707,-866.66662597656,1417,0
-7547.9165039062,-4566.6665039062,-5889.5830078125,-2079.1665039062,1418,0
-12800,-4591.6665039062,-10566.666015625,-1241.6666259766,1419,0
824.99993896484,-1485.4166259766,3837.4997558594,3033.3332519531,1420,0
-1133.3332519531,-750,1666.6666259766,3449.9997558594,1421,0
499.99996948242,-3883.3332519531,3366.6665039062,416.66665649414,1422,0
1218.75,-6056.25,3799.9997558594,-2185.4165039062,1423,0
-1733.3332519531,-2133.3332519531,400,1066.6666259766,1424,0
-1100,-5425,1466.6666259766,-1575,1425,0
-7160.4165039062,-3122.9165039062,-3877.0832519531,1802.0832519531,1426,0
-7587.4995117188,-2554.1665039062,-6100,-322.91665649414,1427,0
-8983.3330078125,-3195.8332519531,-7031.2495117188,-266.66665649414,1428,0
-10254.166015625,-1935.4166259766,-7939.5830078125,1535.4166259766,1429,0
-11533.333007812,-3333.3332519531,-9866.666015625,-833.33331298828,1430,0
-11516.666015625,-1866.6666259766,-9716.666015625,833.33331298828,1431,0
-6327.0830078125,-4752.0830078125,-4487.5,-1993.7498779297,1432,0
-10022.916015625,-3741.6665039062,-8575,-1570.8332519531,1433,0
-15422.916015625,-4160.4165039062,-11168.75,2220.8332519531,1434,0
-11150,-4516.6665039062,-9620.8330078125,-2222.9165039062,1435,0
-11733.333007812,-483.33331298828,-9400,3016.6665039062,1436,0
-4904.1665039062,-4525,-2147.9165039062,-389.58331298828,1437,0
8437.5,-1277.0832519531,11831.25,3814.5832519531,1438,1
3966.6665039062,-3608.3332519531,8333.3330078125,2941.6665039062,1439,1
829.16662597656,-4066.6665039062,4672.9165039062,1699.9998779297,1440,1
-6899.9995117188,-4833.3330078125,-3966.6665039062,-433.33331298828,1441,1
-339.58331298828,-1637.4998779297,2916.6665039062,3245.8332519531,1442,1
-2545.8332519531,-262.5,452.08331298828,4233.3330078125,1443,1
-6999.9995117188,-1508.3332519531,-2366.6665039062,5441.6665039062,1444,1
-5533.3330078125,-6225,-2033.3332519531,-974.99993896484,1445,1
-10475,-7118.7495117188,-5875,-218.74998474121,1446,1
1960.4166259766,-8347.916015625,5341.6665039062,-3277.0832519531,1447,1
3299.9997558594,-4108.3330078125,7133.3330078125,1641.6666259766,1448,1
-8433.3330078125,-3166.6665039062,-5966.6665039062,533.33331298828,1449,1
6952.0830078125,-3689.5832519531,8491.666015625,-1381.25,1450,1
-8281.25,-945.833984375,-5958.333984375,2537.5,1451,1
3799.9997558594,-7416.6665039062,8533.3330078125,-316.66665649414,1452,1
-9175.205078125,36.70063018799,-8278.8505859375,1380.9714355469,1453,0
1338.4605712891,-5083.2055664062,2273.8771972656,-3680.6010742188,1454,1
-5096.845703125,-1504.2164306641,-4569.2412109375,-713.59136962891,1455,0
-1545.8332519531,-527.08331298828,-849.99993896484,516.66662597656,1456,1
9532.5869140625,1880.0295410156,10238.31640625,2938.3627929688,1457,1
1237.8411865234,-86.18240356445,1877.9453125,873.19262695313,1458,0
-1739.5832519531,-2456.25,1085.4166259766,1781.2498779297,1459,30
862.49993896484,895.83331298828,1627.0832519531,2041.6666259766,1460,489
337.5,102.08332824707,1508.3332519531,1858.3332519531,1461,529
-15980,-11880,5817,9917,1463,0
-11870,-13370,12470,10970,1464,1
-16000,-7466.7001953125,6933.2998046875,8000,947,0
-12800,-9600,12266.700195312,6933.2998046875,947,1
